follower_following_ratio,is_fake,user_biography_length,user_follower_count,user_following_count,user_has_profil_pic,user_is_private,user_media_count,username_digit_count,username_length
0.012906556530717605,1.0,0.0,25.0,1937.0,1.0,1.0,0.0,0.0,10.0
0.07860262008733625,1.0,0.0,324.0,4122.0,1.0,0.0,0.0,4.0,15.0
0.03759398496240601,1.0,0.0,15.0,399.0,0.0,0.0,0.0,3.0,12.0
0.1308411214953271,1.0,0.0,14.0,107.0,1.0,0.0,1.0,1.0,10.0
0.056761986669533436,1.0,0.0,264.0,4651.0,1.0,0.0,0.0,0.0,14.0
0.022448979591836733,1.0,0.0,33.0,1470.0,1.0,1.0,2.0,4.0,13.0
0.08601269711243088,1.0,30.0,420.0,4883.0,1.0,0.0,8.0,0.0,12.0
0.06634644250975683,1.0,0.0,442.0,6662.0,1.0,0.0,396.0,0.0,11.0
0.10884353741496598,1.0,0.0,816.0,7497.0,1.0,0.0,85.0,3.0,15.0
0.022621022470215652,1.0,1.0,150.0,6631.0,1.0,1.0,0.0,3.0,8.0
0.03262982504859761,1.0,0.0,235.0,7202.0,1.0,1.0,1.0,2.0,14.0
0.07290132547864507,1.0,0.0,99.0,1358.0,1.0,0.0,1.0,3.0,7.0
0.008935332424655459,1.0,0.0,59.0,6603.0,0.0,1.0,0.0,0.0,12.0
0.0223463687150838,1.0,0.0,4.0,179.0,1.0,0.0,1.0,0.0,17.0
0.03816046966731898,1.0,58.0,39.0,1022.0,0.0,0.0,0.0,3.0,30.0
0.34782608695652173,1.0,0.0,8.0,23.0,0.0,0.0,0.0,0.0,10.0
1.7087912087912087,1.0,26.0,622.0,364.0,0.0,0.0,2.0,0.0,9.0
0.178743961352657,1.0,0.0,37.0,207.0,0.0,0.0,0.0,0.0,15.0
0.27049180327868855,1.0,34.0,66.0,244.0,0.0,0.0,0.0,0.0,11.0
8.0,1.0,0.0,32.0,4.0,1.0,0.0,1.0,2.0,10.0
0.07627118644067797,1.0,0.0,27.0,354.0,1.0,1.0,0.0,4.0,10.0
0.44339622641509435,1.0,0.0,47.0,106.0,0.0,0.0,0.0,3.0,11.0
